A!NET_NAME!PIN_NUMBER_SORT!CLASS!REFDES!SYM_TYPE!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!PIN_NAME!PIN_NUMBER!PIN_X!PIN_Y!PIN_EDITED!PAD_STACK_NAME!VIA_X!VIA_Y!PIN_ROTATION!TEST_POINT!NET_PROBE_NUMBER!
J!E:/design/ROHM/02_Hanoi_BU90002GWZEVK-101/Final_release/Evaluation Board Deliverables/REV01/GERBER/temp/extracta/163/BU90002GWZEVK-101_BRD_REV01_2014-02-10.brd!Mon Feb 10 10:29:07 2014!-17655.559!-26982.181!36344.441!18819.189!0.001!mils!BU90002GWZEVK-101_SCH_REV01_2014-02-10!62.000000 mil!2!UP TO DATE!
S!LX! 00000001!PIN!L1!PACKAGE!SMT_2P5X2P0_FIT!1035.000!1050.000!0.000!NO!1!1!1003.504!1050.000!NO!048X080SM!!!0.000!!!
S!VOUT! 00000002!PIN!L1!PACKAGE!SMT_2P5X2P0_FIT!1035.000!1050.000!0.000!NO!2!2!1066.496!1050.000!NO!048X080SM!!!0.000!!!
S!GND! 00000002!PIN!C2!PACKAGE!C0603!1030.000!1135.000!0.000!NO!2!2!1001.000!1135.000!NO!030X032SM!!!90.000!!!
S!VOUT! 00000001!PIN!C2!PACKAGE!C0603!1030.000!1135.000!0.000!NO!1!1!1059.000!1135.000!NO!030X032SM!!!90.000!!!
S!GND! 00000002!PIN!C1!PACKAGE!C0603!830.000!1045.000!270.000!NO!2!2!830.000!1074.000!NO!030X032SM!!!90.000!!!
S!VIN! 00000001!PIN!C1!PACKAGE!C0603!830.000!1045.000!270.000!NO!1!1!830.000!1016.000!NO!030X032SM!!!90.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!1815.000!0.000!0.000!NO!!!1815.000!0.000!NO!D150C250!!!0.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!1815.000!2130.000!0.000!NO!!!1815.000!2130.000!NO!D150C250!!!0.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!0.000!0.000!0.000!NO!!!0.000!0.000!NO!D150C250!!!0.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!0.000!2130.000!0.000!NO!!!0.000!2130.000!NO!D150C250!!!0.000!!!
S!GND! 00000002!PIN!D1!PACKAGE!DO-214AC!705.000!1105.000!90.000!NO!A!2!705.000!1191.610!NO!082X070SM!!!0.000!!!
S!VIN! 00000001!PIN!D1!PACKAGE!DO-214AC!705.000!1105.000!90.000!NO!C!1!705.000!1018.390!NO!082X070SM!!!0.000!!!
S!GND! 00000001!PIN!TP4!PACKAGE!TP_TH!1815.000!980.000!0.000!NO!1!1!1815.000!980.000!NO!D063C093!!!0.000!!!
S!VOUT! 00000001!PIN!TP3!PACKAGE!TP_TH!1815.000!1155.000!0.000!NO!1!1!1815.000!1155.000!NO!D063C093!!!0.000!!!
S!GND! 00000001!PIN!TP2!PACKAGE!TP_TH!0.000!1155.000!0.000!NO!1!1!0.000!1155.000!NO!D063C093!!!0.000!!!
S!VIN! 00000001!PIN!TP1!PACKAGE!TP_TH!0.000!980.000!0.000!NO!1!1!0.000!980.000!NO!D063C093!!!0.000!!!
S!GND! 00000003!PIN!J2!PACKAGE!HDR_THVT_1X3_100!910.000!805.000!270.000!NO!3!3!910.000!605.000!NO!D040C060!!!0.000!!!
S!MODE! 00000002!PIN!J2!PACKAGE!HDR_THVT_1X3_100!910.000!805.000!270.000!NO!2!2!910.000!705.000!NO!D040C060!!!0.000!!!
S!VIN! 00000001!PIN!J2!PACKAGE!HDR_THVT_1X3_100!910.000!805.000!270.000!NO!1!1!910.000!805.000!NO!D040S060!!!0.000!!!
S!GND! 00000003!PIN!J1!PACKAGE!HDR_THVT_1X3_100!675.000!805.000!270.000!NO!3!3!675.000!605.000!NO!D040C060!!!0.000!!!
S!EN! 00000002!PIN!J1!PACKAGE!HDR_THVT_1X3_100!675.000!805.000!270.000!NO!2!2!675.000!705.000!NO!D040C060!!!0.000!!!
S!VIN! 00000001!PIN!J1!PACKAGE!HDR_THVT_1X3_100!675.000!805.000!270.000!NO!1!1!675.000!805.000!NO!D040S060!!!0.000!!!
